% time spent exploring,Local Reached Total Count,episodes,mean 100 episode reward,steps,% time spent exploring in plan,Goal Reached Total Count,plan episodes,plan mean 100 episode reward,plan steps
99,11,100,-3.0,514,,,,,
99,15,200,-3.9,1068,,,,,
99,24,300,-3.4,1598,,,,,
,,,,,99,1,9,-98.0,1681
99,27,400,-3.6,2159,,,,,
99,41,500,-3.6,2732,,,,,
99,53,600,-3.0,3228,,,,,
99,61,700,-2.7,3655,,,,,
,,,,,99,1,19,-103.4,3681
99,72,800,-2.7,4115,,,,,
99,79,900,-3.2,4619,,,,,
99,87,1000,-4.0,5207,,,,,
,,,,,99,2,29,-103.6,5667
99,93,1100,-3.4,5717,,,,,
99,103,1200,-3.3,6215,,,,,
99,110,1300,-2.5,6628,,,,,
99,117,1400,-3.2,7118,,,,,
99,128,1500,-2.8,7555,,,,,
,,,,,99,4,39,-102.9,7644
99,134,1600,-3.2,8095,,,,,
99,143,1700,-3.5,8633,,,,,
99,154,1800,-3.6,9223,,,,,
,,,,,99,6,49,-100.7,9361
99,169,1900,-2.7,9733,,,,,
98,178,2000,-3.2,10260,,,,,
98,183,2100,-3.5,10810,,,,,
98,191,2200,-3.2,11318,,,,,
,,,,,98,6,59,-100.4,11361
98,203,2300,-2.5,11726,,,,,
98,210,2400,-3.2,12212,,,,,
98,212,2500,-3.4,12751,,,,,
98,221,2600,-3.0,13247,,,,,
,,,,,98,7,69,-100.0,13300
98,226,2700,-3.5,13757,,,,,
98,236,2800,-3.3,14286,,,,,
98,243,2900,-3.7,14892,,,,,
,,,,,98,7,79,-101.0,15300
98,249,3000,-2.7,15311,,,,,
98,256,3100,-2.8,15776,,,,,
98,265,3200,-3.3,16338,,,,,
98,275,3300,-2.9,16838,,,,,
,,,,,98,7,89,-100.5,17300
98,281,3400,-3.7,17414,,,,,
98,284,3500,-3.9,17962,,,,,
98,295,3600,-3.3,18485,,,,,
98,303,3700,-3.3,19042,,,,,
,,,,,98,7,99,-101.4,19300
98,311,3800,-3.5,19581,,,,,
98,321,3900,-3.1,20085,,,,,
97,330,4000,-3.2,20622,,,,,
97,337,4100,-3.2,21151,,,,,
,,,,,97,8,109,-101.5,21233
97,351,4200,-2.9,21590,,,,,
97,359,4300,-3.4,22144,,,,,
97,368,4400,-3.6,22653,,,,,
,,,,,97,9,119,-101.4,23144
97,375,4500,-3.2,23173,,,,,
97,388,4600,-3.0,23667,,,,,
97,394,4700,-3.6,24236,,,,,
97,407,4800,-3.0,24732,,,,,
,,,,,97,9,129,-101.2,25144
97,419,4900,-3.3,25314,,,,,
97,429,5000,-2.9,25803,,,,,
97,435,5100,-3.7,26372,,,,,
97,443,5200,-3.2,26888,,,,,
,,,,,97,9,139,-101.4,27144
97,449,5300,-3.2,27402,,,,,
97,465,5400,-2.9,27881,,,,,
97,473,5500,-3.4,28380,,,,,
97,482,5600,-4.1,29027,,,,,
,,,,,97,9,149,-103.1,29144
97,488,5700,-3.5,29574,,,,,
97,496,5800,-3.4,30140,,,,,
96,503,5900,-3.2,30660,,,,,
96,520,6000,-2.6,31130,,,,,
,,,,,96,9,159,-103.5,31144
96,523,6100,-3.8,31717,,,,,
96,531,6200,-3.3,32248,,,,,
96,546,6300,-3.0,32777,,,,,
,,,,,96,9,169,-104.1,33144
96,556,6400,-3.4,33302,,,,,
96,563,6500,-3.0,33806,,,,,
96,581,6600,-2.6,34252,,,,,
96,591,6700,-3.6,34842,,,,,
,,,,,96,11,179,-102.1,34900
96,600,6800,-3.2,35360,,,,,
96,612,6900,-3.2,35887,,,,,
96,621,7000,-3.0,36394,,,,,
96,638,7100,-2.6,36864,,,,,
,,,,,96,11,189,-102.5,36900
96,650,7200,-2.9,37378,,,,,
96,656,7300,-3.7,37933,,,,,
96,664,7400,-3.1,38464,,,,,
,,,,,96,11,199,-101.6,38900
96,667,7500,-3.7,39060,,,,,
96,676,7600,-3.4,39598,,,,,
96,688,7700,-3.1,40119,,,,,
,,,,,95,13,209,-100.8,40615
95,697,7800,-3.4,40661,,,,,
95,710,7900,-3.6,41222,,,,,
95,722,8000,-3.6,41815,,,,,
,,,,,95,15,219,-99.7,42377
95,730,8100,-4.0,42448,,,,,
95,741,8200,-3.1,42978,,,,,
95,760,8300,-2.9,43484,,,,,
95,768,8400,-3.4,44014,,,,,
,,,,,95,17,229,-99.9,44180
95,774,8500,-3.3,44523,,,,,
95,781,8600,-4.0,45184,,,,,
95,792,8700,-2.9,45708,,,,,
,,,,,95,20,239,-98.1,45943
95,809,8800,-2.4,46140,,,,,
95,826,8900,-3.1,46703,,,,,
95,834,9000,-3.8,47301,,,,,
95,849,9100,-2.0,47661,,,,,
,,,,,95,20,249,-96.6,47943
95,862,9200,-3.2,48202,,,,,
95,871,9300,-3.3,48744,,,,,
95,882,9400,-3.2,49262,,,,,
95,897,9500,-3.1,49763,,,,,
,,,,,95,20,259,-96.6,49943
95,906,9600,-3.4,50342,,,,,
94,918,9700,-3.1,50866,,,,,
94,928,9800,-4.3,51595,,,,,
,,,,,94,21,269,-96.5,51891
94,942,9900,-3.2,52143,,,,,
